TestRunner                    	mean		deviation	count

ScaleVector2D                 	48.1529927253723ns	0.227074445730546ns		8388608
ScaleVector3D                 	43.6769843101501ns	0.065282827921014ns		8388608
MultiplyVector2D              	30.5883049964905ns	1.50353779878816ns		8388608
MultiplyVector3D              	33.4785270690918ns	0.145898765469458ns		8388608
TranslateVector2D             	56.0275101661682ns	0.218955884073562ns		8388608
TranslateVector3D             	52.242169380188ns	0.336874262757562ns		8388608
SubstractVector2D             	56.8615078926086ns	0.152690565362086ns		8388608
SubstractVector3D             	52.8569459915161ns	0.104033208674826ns		8388608
LengthVector2D                	54.6670389175415ns	0.133717466752328ns		8388608
LengthVector3D                	58.0543661117554ns	0.0886161842191913ns		8388608
Dotproduct2D                  	44.4921088218689ns	0.132104509040944ns		8388608
Dotproduct3D                  	48.0409836769104ns	0.0868321100896721ns		8388608
MemTest                       	860298.6328125ns	4499.94875985367ns		512
Prime                         	5501.08367919922ns	25.705738737239ns		65536
Sestoft                       	41.2445044517517ns	0.0907082305396591ns		8388608
SestoftPow                    	99.7536993026733ns	0.272423541971831ns		4194304
