Iteration no.,Time (microseconds),Comment
0,10882.1,
1,668.4,
2,378.5,
3,1220.1,
4,139.9,
5,152.7,
6,827.1,gold
7,745.4,
8,112.5,
9,153.5,
10,111.6,
11,161.7,
12,1148.7,reset
13,179.2,
14,336.5,
15,172,
16,156.6,
17,159.1,
18,179.2,
19,201.9,gold
20,230.5,
21,401.6,
22,190.3,
23,116.7,
24,154.4,
25,273.7,reset
26,685.1,
27,139.4,
28,167.2,
29,186.1,
30,353.3,
31,137.2,
32,230.1,gold
33,163.4,
34,151.8,
35,142.8,
36,125.7,
37,166.7,
38,300.2,reset
39,237.8,
40,289.1,
41,181.7,
42,152.7,
43,213,
44,140.3,
45,435.4,gold
46,178.3,
47,124.9,
48,178.4,
49,117.2,
50,150.6,
51,268.5,reset
52,169.8,
53,313.5,
54,400.7,
55,221.5,
56,142.4,
57,139.4,
58,190.7,gold
59,153.1,
60,110.8,
61,132.2,
62,102.7,
63,156.5,
64,554.6,reset
65,494.3,
66,131.3,
67,177.1,
68,147.1,
69,167.2,
70,139.4,
71,226.7,gold
72,169.8,
73,101.3,
74,120.2,
75,100.5,
76,130.4,
77,226.2,reset
78,217.7,
79,112.9,
80,154.8,
81,150.9,
82,143.2,
83,135.1,
84,204,gold
85,284.9,
86,138.5,
87,164.7,
88,214.3,
89,179.2,
90,332.3,reset
91,390.4,
92,160.8,
93,155.7,
94,158.7,
95,377.2,
96,145.4,
97,240.4,gold
98,276.7,
99,112.5,
100,117.2,
101,119.7,
102,236.5,
103,299,reset
104,186.8,
105,143.3,
106,164.3,
107,143.7,
108,163.7,
109,192.8,
110,210,gold
111,167.7,
112,118,
113,126.2,
114,135.1,
115,195.5,
116,420.8,reset
117,202.3,
118,131.3,
119,313.1,
120,140.2,
121,278.4,
122,137.7,
123,215.6,gold
124,192.9,
125,136,
126,136.9,
127,104.4,
128,129.2,
129,279.3,reset
