Iteration no.,Time (microseconds),Comment
0,131205.2,
1,8737.9,
2,6953.2,
3,1834.6,
4,102.2,
5,89.8,
6,16123.4,gold
7,23246.9,
8,76.6,
9,401.6,
10,50,
11,59,
12,1123.9,reset
13,72.3,
14,56.9,
15,91.5,
16,67.6,
17,71.4,
18,65,
19,156.9,gold
20,67.6,
21,80,
22,63.3,
23,56,
24,79.6,
25,123.5,reset
26,111.2,
27,59,
28,73.1,
29,64.5,
30,88.9,
31,62.4,
32,159.9,gold
33,71.9,
34,81.3,
35,61.6,
36,54.3,
37,66.3,
38,121,reset
39,76.6,
40,62,
41,541.8,
42,92.8,
43,71,
44,56.9,
45,91.1,gold
46,100,
47,56,
48,64.6,
49,49.2,
50,92.4,
51,128.7,reset
52,75.7,
53,55.6,
54,63.3,
55,62.9,
56,71.4,
57,61.2,
58,121,gold
59,70.5,
60,52.6,
61,61.1,
62,52.6,
63,66.3,
64,127.9,reset
65,74.5,
66,58.2,
67,64.6,
68,62,
69,66.7,
70,65.4,
71,112.5,gold
72,95.8,
73,64.6,
74,81.2,
75,55.6,
76,60.7,
77,128.3,reset
78,76.1,
79,54.8,
80,67.1,
81,59.8,
82,73.1,
83,74,
84,479.8,gold
85,65.9,
86,55.2,
87,73.2,
88,65.9,
89,62.8,
90,129.6,reset
91,89.4,
92,56.9,
93,68,
94,65.9,
95,64.6,
96,61.1,
97,85.5,gold
98,90.6,
99,53.5,
100,83.4,
101,55.6,
102,68.8,
103,127,reset
104,92.8,
105,54.8,
106,66.3,
107,63.3,
108,97.5,
109,59.8,
110,78.7,gold
111,74,
112,50.9,
113,58.6,
114,54.3,
115,64.2,
116,163.8,reset
117,79.2,
118,56,
119,68,
120,60.3,
121,73.1,
122,56.4,
123,85.5,gold
124,70.1,
125,53.1,
126,67.1,
127,56.9,
128,69.3,
129,125.3,reset
130,67.6,
131,54.8,
132,465.7,
133,66.7,
134,94.1,
135,62,
136,88.1,gold
137,66.3,
138,50,
139,71.4,
140,63.7,
141,68.8,
142,127.5,reset
143,71.4,
144,56.4,
145,68.9,
146,67.1,
147,93.2,
148,60.7,
149,90.7,gold
150,67.6,
151,56.4,
152,64.6,
153,59,
154,59.9,
155,304.5,reset
156,84.3,
157,62.1,
158,115.5,
159,76.2,
160,74.9,
161,86.4,
162,139,gold
163,100.1,
164,76.6,
165,96.6,
166,55.6,
167,63.7,
168,124,reset
169,93.2,
170,55.2,
171,73.6,
172,60.3,
173,70.6,
174,75.7,
175,90.6,gold
176,66.3,
177,436.2,
178,81.3,
179,66.7,
180,128.3,
181,158.7,reset
182,75.7,
183,59.9,
184,65.1,
185,71.4,
186,70.5,
187,62,
188,88.9,gold
189,68,
190,54.3,
191,59.9,
192,57.7,
193,132.6,
194,164.2,reset
195,107.8,
196,57.3,
197,74.9,
198,58.6,
199,72.3,
200,70.1,
201,121.1,gold
202,68.4,
203,53.5,
204,64.6,
205,52.6,
206,60.8,
207,133,reset
208,65.8,
209,57.3,
210,67.6,
211,75.7,
212,65.4,
213,64.5,
214,84.7,gold
215,65.8,
216,62.5,
217,61.1,
218,49.2,
219,87.7,
220,135.6,reset
221,67.2,
222,59.4,
223,68.4,
224,458.4,
225,71.9,
226,58.6,
227,79.1,gold
228,95.8,
229,51.7,
230,59.4,
231,53,
232,82.9,
233,136.4,reset
234,101,
235,58.1,
236,67.6,
237,57.7,
238,77.9,
239,57.3,
240,88.5,gold
241,64.1,
242,50.5,
243,65.4,
244,53,
245,60.3,
246,200.2,reset
247,74,
248,56.1,
249,67.5,
250,64.2,
251,95.3,
252,61.6,
253,91.5,gold
254,65,
255,56,
256,66.3,
257,50,
258,67.5,
259,163.4,reset
260,90.7,
261,61.6,
262,65,
263,63.3,
264,65.5,
265,60.7,
266,88.5,gold
267,70.6,
268,50.9,
269,64.1,
270,565.4,
271,67.1,
272,124.4,reset
273,69.3,
274,63.7,
275,71.9,
276,108.6,
277,68,
278,74.8,
279,83,gold
280,73.9,
281,52.6,
282,66.3,
283,52.1,
284,108.7,
285,121.4,reset
286,73.6,
287,54.7,
288,103.1,
289,63.8,
290,68.9,
291,55.6,
292,93.2,gold
293,67.6,
294,66.3,
295,77,
296,56,
297,61.5,
298,130.4,reset
299,66.7,
300,57.3,
301,100.1,
302,86,
303,75.7,
304,62.4,
305,81.7,gold
306,94.5,
307,66.3,
308,59.9,
309,53.9,
310,59,
311,120.2,reset
312,74.8,
313,59,
314,91.1,
315,65.8,
316,539.2,
317,57.3,
318,88.1,gold
319,69.8,
320,51.3,
321,64.1,
322,52.6,
323,72.7,
324,161.6,reset
