Iteration no.,Time (microseconds),Comment
0,8818.6,
1,786.1,
2,325.4,
3,810.4,
4,107.3,
5,136,
6,679.9,gold
7,716.7,
8,97.1,
9,132.1,
10,129.6,
11,332.3,
12,1865.8,reset
13,139.8,
14,121.4,
15,136.8,
16,128.3,
17,142.8,
18,121.1,
19,171.9,gold
20,136.9,
21,104.4,
22,143.6,
23,113.7,
24,133.9,
25,211.2,reset
26,154.9,
27,112.1,
28,136.4,
29,124,
30,139.8,
31,118.5,
32,316.9,gold
33,203.2,
34,98.7,
35,184.7,
36,115,
37,140.7,
38,252.8,reset
39,201.9,
40,109.9,
41,154,
42,129.6,
43,136.8,
44,121.4,
45,171.1,gold
46,141.6,
47,96.7,
48,115.9,
49,100.9,
50,124.9,
51,221.1,reset
52,156.1,
53,212.1,
54,148.4,
55,249.8,
56,198.4,
57,121.5,
58,171.9,gold
59,143.2,
60,109.1,
61,124.5,
62,116.4,
63,139,
64,266,reset
65,162.9,
66,126.6,
67,150.1,
68,143.3,
69,162.1,
70,133.4,
71,198.8,gold
72,156.9,
73,252.7,
74,408.4,
75,376.7,
76,148.4,
77,205.3,reset
78,131.3,
79,118.1,
80,141.1,
81,129.6,
82,144.1,
83,125.3,
84,176.2,gold
85,189,
86,97.9,
87,128.8,
88,121.8,
89,90.2,
90,226.2,reset
91,145,
92,105.2,
93,140.7,
94,128.3,
95,136.4,
96,165.9,
97,231.8,gold
98,161.3,
99,97.5,
100,127.5,
101,103.9,
102,127.8,
103,223.7,reset
104,140.2,
105,113.8,
106,175.8,
107,149.2,
108,167.6,
109,140.7,
110,204,gold
111,159.5,
112,116.3,
113,167.2,
114,122.7,
115,146.2,
116,845.9,reset
117,538.4,
118,107.4,
119,145.8,
120,144.1,
121,175.8,
122,137.3,
123,209.1,gold
124,203.2,
125,122.3,
126,151.9,
127,119.7,
128,157,
129,266.8,reset
130,175.7,
131,144.1,
132,167.2,
133,165.1,
134,142.4,
135,113.8,
136,171.9,gold
137,186,
138,101.8,
139,127,
140,100.9,
141,135.1,
142,244.2,reset
143,314.3,
144,284.4,
145,144.2,
146,127.8,
147,142.9,
148,119.3,
149,176.2,gold
150,135.1,
151,105.6,
152,137.2,
153,91.5,
154,129.6,
155,228.8,reset
156,141.2,
157,103.1,
158,143.7,
159,125.3,
160,142.4,
161,456.7,
162,183,gold
163,175.3,
164,247.2,
165,120.2,
166,107.4,
167,171,
168,223.2,reset
169,145.8,
170,120.2,
171,178.8,
172,128.3,
173,138.1,
174,118.9,
175,156.9,gold
176,138.2,
177,103.9,
178,130.9,
179,97.5,
180,125.3,
181,229.2,reset
182,147.5,
183,121,
184,139,
185,115.9,
186,245,
187,86.9,
188,172.3,gold
189,141.2,
190,103,
191,130.4,
192,96.2,
193,124.9,
194,225.8,reset
195,154.4,
196,148.4,
197,141.1,
198,126.6,
199,143.2,
200,163.4,
201,169.8,gold
202,142.8,
203,100.9,
204,130.4,
205,110.8,
206,211.3,
207,309.2,reset
208,141.5,
209,116.4,
210,138.1,
211,122.3,
212,140.2,
213,116.8,
214,179.2,gold
215,180.5,
216,102.2,
217,128.7,
218,95.8,
219,128.7,
220,231,reset
221,150.1,
222,112.4,
223,142.4,
224,98.3,
225,145.8,
226,121.9,
227,179.6,gold
228,189.5,
229,103.5,
230,385.7,
231,240.4,
232,346.8,
233,244.2,reset
234,144.6,
235,116.7,
236,191.5,
237,128.3,
238,147.1,
239,119.3,
240,146.2,gold
241,141.1,
242,100.1,
243,131.2,
244,105.2,
245,130.9,
246,222.3,reset
247,144.1,
248,112.5,
249,145.4,
250,134.7,
251,134.7,
252,335.7,
253,182.6,gold
254,137.7,
255,101,
256,133.4,
257,96.6,
258,127.9,
259,235.2,reset
260,154.4,
261,109.9,
262,138.6,
263,130,
264,151.4,
265,124.4,
266,183.8,gold
267,139.8,
268,100.5,
269,129.1,
270,103.4,
271,128.7,
272,252.7,reset
273,333.6,
274,118.5,
275,336.1,
276,130.9,
277,142,
278,118.9,
279,236.5,gold
280,196.3,
281,129.2,
282,157.4,
283,128.2,
284,161.2,
285,282.6,reset
286,197.5,
287,113.3,
288,256.5,
289,126.6,
290,142.8,
291,116.3,
292,172.8,gold
293,261.8,
294,274.6,
295,122.7,
296,97,
297,123.2,
298,254.5,reset
299,141.6,
300,115,
301,137.3,
302,131.3,
303,145,
304,123.6,
305,178.8,gold
306,140.3,
307,100.9,
308,118,
309,79.5,
310,122.3,
311,226.7,reset
312,146.3,
313,121.5,
314,125.3,
315,608.5,
316,169.4,
317,144.9,
318,208.2,gold
319,136.4,
320,93.7,
321,123.1,
322,77,
323,124.9,
324,250.2,reset
